gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	E1	F1	B1	D1	C1	AA
K00925	acetate kinase [EC:2.7.2.1] [RN:R00315]	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	carbon utilization	pyruvate metabolism		7.0	4.0	7.0	7.0	7.0	3.0
K00132	acetaldehyde dehydrogenase (acetylating)	fermentation-	carbon utilization	pyruvate metabolism		1.0	0.0	1.0	1.0	1.0	1.0
K13954	alcohol dehydrogenase	fermentation-	carbon utilization	pyruvate metabolism		1.0	1.0	1.0	1.0	1.0	1.0
K00001	alcohol dehydrogenase	fermentation-	carbon utilization	pyruvate metabolism		4.0	3.0	2.0	4.0	4.0	4.0
K00016	L-lactate dehydrogenase	fermentation-	carbon utilization	pyruvate metabolism		8.0	2.0	9.0	8.0	8.0	6.0
K03778	D-lactate dehydrogenase	fermentation-	carbon utilization	pyruvate metabolism		4.0	1.0	3.0	4.0	4.0	3.0
K00656	formate acetyltransferase (pyruvate-formate lyase )	pyruvate metabolism	carbon utilization	pyruvate metabolism		2.0	0.0	1.0	2.0	2.0	2.0
K04069	pyruvate formate lyase activating enzyme	pyruvate metabolism	carbon utilization	pyruvate metabolism		1.0	0.0	1.0	1.0	1.0	1.0
K01512	acylphosphatase	pyruvate metabolism	carbon utilization	pyruvate metabolism		2.0	1.0	2.0	2.0	2.0	1.0
K00074	3-hydroxybutyryl-CoA dehydrogenase	pyruvate metabolism	carbon utilization	pyruvate metabolism		1.0	1.0	1.0	1.0	1.0	0.0
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90] [RN:R05282 R05348 R05347]	Xylene degradation, xylene => methylbenzoate	carbon utilization	hydrocarbon degradation		3.0	3.0	3.0	3.0	3.0	1.0
K00055	xylB; aryl-alcohol dehydrogenase [EC:1.1.1.90] [RN:R01763]	Toluene degradation, toluene => benzoate	carbon utilization	hydrocarbon degradation		3.0	3.0	3.0	3.0	3.0	1.0
K00529	3-phenylpropionate/cinnamic acid dioxygenase [EC:1.14.12.19] [RN:R06783]	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	carbon utilization	hydrocarbon degradation		4.0	2.0	4.0	4.0	4.0	3.0
K05714	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase [EC:3.7.1.14] [RN:R06789]	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	carbon utilization	hydrocarbon degradation		1.0	1.0	0.0	1.0	1.0	1.0
K01055	3-oxoadipate enol-lactonase [EC:3.1.1.24] [RN:R02991]	Catechol ortho-cleavage, catechol => 3-oxoadipate	carbon utilization	hydrocarbon degradation		2.0	2.0	2.0	2.0	2.0	2.0
K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6] [RN:R03966 R05389]	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	carbon utilization	hydrocarbon degradation		2.0	1.0	2.0	2.0	2.0	1.0
K01617	4-oxalocrotonate decarboxylase [EC:4.1.1.77] [RN:R02602 R05374]	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	carbon utilization	hydrocarbon degradation		1.0	0.0	2.0	1.0	1.0	1.0
K01607	pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	protocatechuate degradation, protocatechuate => 3-oxoadipate	carbon utilization	hydrocarbon degradation		4.0	2.0	3.0	4.0	4.0	3.0
K10218	ligK; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]	protocatechuate degradation, protocatechuate => oxaloacteate + pyruvate	carbon utilization	hydrocarbon degradation		1.0	1.0	0.0	1.0	1.0	1.0
K22958	lpdC; gallate decarboxylase subunit C [EC:4.1.1.59]	anaerobic gallate degradation, gallate => 3-hydroxybutanoyl-CoA	carbon utilization	hydrocarbon degradation		2.0	1.0	2.0	2.0	2.0	1.0
K22959	lpdB; gallate decarboxylase subunit B	anaerobic gallate degradation, gallate => 3-hydroxybutanoyl-CoA	carbon utilization	hydrocarbon degradation		2.0	2.0	2.0	2.0	2.0	1.0
K22960	lpdD; gallate decarboxylase subunit D	anaerobic gallate degradation, gallate => 3-hydroxybutanoyl-CoA	carbon utilization	hydrocarbon degradation		2.0	2.0	2.0	2.0	2.0	1.0
K15063	ligW; 5-carboxyvanillate decarboxylase	lignin subunit degradation	carbon utilization	hydrocarbon degradation		1.0	0.0	0.0	1.0	1.0	1.0
K01812	glucuronate isomerase	Pentose and glucuronate interconversions	carbon utilization	sugar utilization	galacturonic acid degradation	2.0	2.0	2.0	2.0	2.0	0.0
K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase	Pentose and glucuronate interconversions	carbon utilization (Woodcroft)	sugar utilization	galacturonic acid degradation	2.0	1.0	1.0	2.0	2.0	1.0
K01785	aldose 1-epimerase	Galactose metabolism	carbon utilization (Woodcroft)	sugar utilization	galactose degradation	10.0	6.0	8.0	10.0	10.0	7.0
K00849	galactokinase	Galactose metabolism	carbon utilization (Woodcroft)	sugar utilization	galactose degradation	4.0	3.0	3.0	4.0	4.0	3.0
K00965	UDPglucose--hexose-1-phosphate uridylyltransferase	Galactose metabolism	carbon utilization (Woodcroft)	sugar utilization	galactose degradation	4.0	2.0	4.0	4.0	4.0	3.0
K01784	UDP-glucose 4-epimerase	Galactose metabolism	carbon utilization (Woodcroft)	sugar utilization	galactose degradation	2.0	2.0	3.0	2.0	2.0	1.0
K12111	evolved beta-galactosidase subunit alpha	Galactose metabolism	carbon utilization (Woodcroft)	sugar utilization	lactose degradation	4.0	2.0	4.0	4.0	4.0	2.0
K01203	sucrase-isomaltase	Starch and sucrose metabolism	carbon utilization (Woodcroft)	sugar utilization	sucrose degradation	2.0	2.0	3.0	2.0	2.0	1.0
K01193	beta-fructofuranosidase	Starch and sucrose metabolism	carbon utilization (Woodcroft)	sugar utilization	sucrose degradation	3.0	2.0	1.0	3.0	3.0	3.0
K01187	alpha-glucosidase	Starch and sucrose metabolism	carbon utilization (Woodcroft)	sugar utilization	sucrose degradation	2.0	1.0	2.0	2.0	2.0	1.0
K00690	sucrose phosphorylase	Starch and sucrose metabolism	carbon utilization (Woodcroft)	sugar utilization	sucrose degradation	11.0	4.0	10.0	11.0	13.0	10.0
K00847	fructokinase	Fructose and mannose metabolism	carbon utilization (Woodcroft)	sugar utilization	fructose degradation	8.0	6.0	7.0	8.0	8.0	3.0
K00844	hexokinase	Fructose and mannose metabolism	carbon utilization (Woodcroft)	sugar utilization	fructose degradation	5.0	5.0	3.0	5.0	5.0	5.0
K00844	hexokinase	Fructose and mannose metabolism	carbon utilization (Woodcroft)	sugar utilization	mannose degradation	5.0	5.0	3.0	5.0	5.0	5.0
K02794	mannose PTS system EIIAB component	Fructose and mannose metabolism	carbon utilization (Woodcroft)	sugar utilization	mannose degradation	5.0	3.0	5.0	5.0	5.0	3.0
K02795	mannose PTS system EIIC component	Fructose and mannose metabolism	carbon utilization (Woodcroft)	sugar utilization	mannose degradation	2.0	2.0	2.0	2.0	2.0	1.0
K02796	mannose PTS system EIID component	Fructose and mannose metabolism	carbon utilization (Woodcroft)	sugar utilization	mannose degradation	2.0	2.0	2.0	2.0	2.0	1.0
K01809	mannose-6-phosphate isomerase	Fructose and mannose metabolism	carbon utilization (Woodcroft)	sugar utilization	mannose degradation	3.0	2.0	3.0	3.0	3.0	2.0
K01628	L-fuculose-phosphate aldolase	Fructose and mannose metabolism	carbon utilization (Woodcroft)	sugar utilization	fucose degradation	3.0	1.0	0.0	3.0	3.0	3.0
K01805	xylose isomerase	Fructose and mannose metabolism	carbon utilization (Woodcroft)	sugar utilization	xylose degradation (isomerase pathway)	1.0	1.0	1.0	1.0	1.0	0.0
K00854	xylulokinase	Fructose and mannose metabolism	carbon utilization (Woodcroft)	sugar utilization	xylose degradation (isomerase pathway)	5.0	4.0	2.0	5.0	5.0	4.0
K17743	D-xylose reductase	Pentose and glucuronate interconversions	carbon utilization (Woodcroft)	sugar utilization	xylose degradation (oxidoreductase pathway)	1.0	1.0	1.0	1.0	1.0	1.0
K05351	D-xylulose reductase	Pentose and glucuronate interconversions	carbon utilization (Woodcroft)	sugar utilization	xylose degradation (oxidoreductase pathway)	2.0	2.0	2.0	2.0	2.0	2.0
K00008	L-iditol 2-dehydrogenase	Pentose and glucuronate interconversions	carbon utilization (Woodcroft)	sugar utilization	xylose degradation (oxidoreductase pathway)	1.0	1.0	1.0	1.0	1.0	0.0
K00854	xylulokinase	Pentose and glucuronate interconversions	carbon utilization (Woodcroft)	sugar utilization	xylose degradation (oxidoreductase pathway)	5.0	4.0	2.0	5.0	5.0	4.0
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	Pentose and glucuronate interconversions	carbon utilization (Woodcroft)	sugar utilization	xylose degradation (weimburg/dahms)	6.0	2.0	6.0	6.0	6.0	5.0
K14274	xylono-1,5-lactonase	Pentose and glucuronate interconversions	carbon utilization (Woodcroft)	sugar utilization	xylose degradation (weimburg/dahms)	1.0	1.0	0.0	1.0	1.0	1.0
K01067	acetyl-CoA hydrolase [EC:3.1.2.1]	SCFA  and alcohol conversions	MISC	SCFA  and alcohol conversions		1.0	1.0	1.0	1.0	1.0	1.0
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	SCFA  and alcohol conversions	MISC	SCFA  and alcohol conversions		4.0	3.0	3.0	4.0	4.0	3.0
K13953	alcohol dehydrogenase [EC:1.1.1.1]	SCFA  and alcohol conversions	MISC	SCFA  and alcohol conversions		8.0	8.0	3.0	8.0	8.0	6.0
K04072	alcohol dehydrogenase [EC:1.1.1.1]	SCFA  and alcohol conversions	MISC	SCFA  and alcohol conversions		3.0	1.0	3.0	3.0	3.0	2.0
K00121	alcohol dehydrogenase [EC:1.1.1.1]	SCFA  and alcohol conversions	MISC	SCFA  and alcohol conversions		1.0	1.0	1.0	1.0	1.0	1.0
K00958	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		2.0	1.0	1.0	2.0	2.0	2.0
K00860	adenylylsulfate kinase [EC:2.7.1.25] [RN:R00509]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		2.0	1.0	2.0	2.0	2.0	2.0
K00955	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		4.0	3.0	5.0	4.0	4.0	3.0
K00956	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		11.0	8.0	8.0	11.0	11.0	8.0
K00390	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8] [RN:R02021]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		1.0	1.0	0.0	1.0	1.0	1.0
K00380	sulfite reductase (NADPH) [EC:1.8.1.2] [RN:R00858]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		2.0	1.0	0.0	2.0	2.0	2.0
K00381	sulfite reductase (NADPH) [EC:1.8.1.2] [RN:R00858]	Assimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		1.0	1.0	2.0	1.0	1.0	1.0
K00956	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Dissimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		11.0	8.0	8.0	11.0	11.0	8.0
K00958	sulfate adenylyltransferase [EC:2.7.7.4] [RN:R00529]	Dissimilatory sulfate reduction, sulfate => H2S	Energy	Sulfur		2.0	1.0	1.0	2.0	2.0	2.0
K01011	rhodanase		Energy	Sulfur		1.0	1.0	0.0	1.0	1.0	1.0
K00281	glycine cleavage system [RN:R01221]	Photorespiration	Energy	Photosynthesis		5.0	4.0	4.0	5.0	5.0	4.0
K00605	glycine cleavage system [RN:R01221]	Photorespiration	Energy	Photosynthesis		1.0	1.0	0.0	1.0	1.0	1.0
K00382	glycine cleavage system [RN:R01221]	Photorespiration	Energy	Photosynthesis		9.0	7.0	8.0	9.0	9.0	6.0
K02437	glycine cleavage system [RN:R01221]	Photorespiration	Energy	Photosynthesis		5.0	3.0	4.0	5.0	5.0	3.0
K00412	CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K00413	CYC1; ubiquinol-cytochrome c reductase cytochrome c1 subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K00410	fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		3.0	3.0	3.0	3.0	3.0	3.0
K00411	UQCRFS1; ubiquinol-cytochrome c reductase iron-sulfur subunit	Cytochrome bc1 complex respiratory unit	Energy	Oxygen		1.0	1.0	0.0	1.0	1.0	1.0
K00412	CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit	Cytochrome bc1 complex	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K00413	CYC1; ubiquinol-cytochrome c reductase cytochrome c1 subunit	Cytochrome bc1 complex	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K00410	FBCH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit	Cytochrome bc1 complex	Energy	Oxygen		3.0	3.0	3.0	3.0	3.0	3.0
K00411	UQCRFS1; ubiquinol-cytochrome c reductase iron-sulfur subunit	Cytochrome bc1 complex	Energy	Oxygen		1.0	1.0	0.0	1.0	1.0	1.0
K00414	QCR1; ubiquinol-cytochrome c reductase core subunit 1	Cytochrome bc1 complex	Energy	Oxygen		4.0	3.0	3.0	4.0	4.0	4.0
K00415	QCR2; ubiquinol-cytochrome c reductase core subunit 2	Cytochrome bc1 complex	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K00416	QCR6; ubiquinol-cytochrome c reductase subunit 6	Cytochrome bc1 complex	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K00417	QCR7; ubiquinol-cytochrome c reductase subunit 7	Cytochrome bc1 complex	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K00418	QCR8; ubiquinol-cytochrome c reductase subunit 8	Cytochrome bc1 complex	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K00425	cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]	Cytochrome bd ubiquinol oxidase	Energy	Oxygen		2.0	1.0	2.0	2.0	2.0	1.0
K00426	cytochrome bd ubiquinol oxidase subunit II [EC:1.10.3.14]	Cytochrome bd ubiquinol oxidase	Energy	Oxygen		2.0	1.0	2.0	2.0	2.0	1.0
K02257	COX10; protoheme IX farnesyltransferase [EC:2.5.1.-]	Cytochrome c oxidase	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K02262	COX3; cytochrome c oxidase subunit 3	Cytochrome c oxidase	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K02256	COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1]	Cytochrome c oxidase	Energy	Oxygen		5.0	5.0	5.0	5.0	5.0	5.0
K02261	COX2; cytochrome c oxidase subunit 2	Cytochrome c oxidase	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K02263	COX4; cytochrome c oxidase subunit 4	Cytochrome c oxidase	Energy	Oxygen		2.0	2.0	0.0	2.0	2.0	2.0
K02264	COX5A; cytochrome c oxidase subunit 5a	Cytochrome c oxidase	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K02265	COX5B; cytochrome c oxidase subunit 5b	Cytochrome c oxidase	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K02266	COX6A; cytochrome c oxidase subunit 6a	Cytochrome c oxidase	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K02267	COX6B; cytochrome c oxidase subunit 6b	Cytochrome c oxidase	Energy	Oxygen		1.0	1.0	0.0	1.0	1.0	1.0
K02258	COX11; cytochrome c oxidase assembly protein subunit 11	Cytochrome c oxidase	Energy	Oxygen		1.0	1.0	1.0	1.0	1.0	1.0
K02259	COX15; cytochrome c oxidase assembly protein subunit 15	Cytochrome c oxidase	Energy	Oxygen		1.0	1.0	0.0	1.0	1.0	1.0
K02260	COX17; cytochrome c oxidase assembly protein subunit 17	Cytochrome c oxidase	Energy	Oxygen		1.0	1.0	0.0	1.0	1.0	1.0
K00937	polyphosphate kinase ???	Cytochrome d ubiquinol oxidase	Energy	Oxygen		2.0	1.0	2.0	2.0	2.0	1.0
K00370	nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		1.0	0.0	0.0	1.0	1.0	1.0
K00371	nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		2.0	0.0	0.0	2.0	2.0	2.0
K00374	nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		1.0	0.0	0.0	1.0	1.0	1.0
K00370	respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		1.0	0.0	0.0	1.0	1.0	1.0
K00371	respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		2.0	0.0	0.0	2.0	2.0	2.0
K00374	respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		1.0	0.0	0.0	1.0	1.0	1.0
K10534	nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3] [RN:R00794 R00796]	Assimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		1.0	1.0	0.0	1.0	1.0	1.0
K00360	assimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Assimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		3.0	2.0	3.0	3.0	3.0	2.0
K02575	NRT; MFS transporter, NNP family, nitrate/nitrite transporter	Nitrate assimilation	Energy	Nitrogen		2.0	1.0	1.0	2.0	2.0	2.0
K00370	nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	Complete nitrification, comammox, ammonia => nitrite => nitrate	Energy	Nitrogen		1.0	0.0	0.0	1.0	1.0	1.0
K00371	nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	Complete nitrification, comammox, ammonia => nitrite => nitrate	Energy	Nitrogen		2.0	0.0	0.0	2.0	2.0	2.0
K00370	nxr, nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	1.0	0.0	0.0	1.0	1.0	1.0
K00371	nxr, nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	2.0	0.0	0.0	2.0	2.0	2.0
K00532	ferredoxin hydrogenase [EC:1.12.7.2]	hydrogenase	Energy	Hydrogenases		1.0	1.0	1.0	1.0	1.0	1.0
K00249	acyl-CoA dehydrogenase [EC:1.3.8.7] [RN:R04432]	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Energy	Electron transport Chain		2.0	1.0	2.0	2.0	2.0	1.0
K05605	3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4] [RN:R03157 R03158]	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Energy	Electron transport Chain	2.0	2.0	0.0	2.0	2.0	1.0
K00236	SDHC; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit	Succinate dehydrogenase (ubiquinone)	Energy	Electron transport Chain		2.0	2.0	1.0	2.0	2.0	2.0
K00237	SDHD; succinate dehydrogenase (ubiquinone) membrane anchor subunit	Succinate dehydrogenase (ubiquinone)	Energy	Electron transport Chain		3.0	3.0	2.0	3.0	3.0	3.0
K00234	SDHA; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	Succinate dehydrogenase (ubiquinone)	Energy	Electron transport Chain		6.0	5.0	4.0	6.0	6.0	6.0
K00235	SDHB; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]	Succinate dehydrogenase (ubiquinone)	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K00239	sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	Succinate dehydrogenase, prokaryotes	Energy	Electron transport Chain		1.0	0.0	2.0	1.0	1.0	1.0
K02111	ATPF1A; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]	F-type ATPase, prokaryotes and chloroplasts	Energy	Electron transport Chain		5.0	4.0	3.0	5.0	5.0	4.0
K02112	ATPF1B; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]	F-type ATPase, prokaryotes and chloroplasts	Energy	Electron transport Chain		0.0	0.0	1.0	0.0	0.0	0.0
K02113	ATPF1D; F-type H+-transporting ATPase subunit delta	F-type ATPase, prokaryotes and chloroplasts	Energy	Electron transport Chain		3.0	2.0	3.0	3.0	3.0	2.0
K02114	ATPF1E; F-type H+-transporting ATPase subunit epsilon	F-type ATPase, prokaryotes and chloroplasts	Energy	Electron transport Chain		3.0	2.0	2.0	3.0	3.0	2.0
K02115	ATPF1G, atpG	F-type ATPase, prokaryotes and chloroplasts	Energy	Electron transport Chain		3.0	2.0	2.0	3.0	3.0	2.0
K02108	ATPF0A; F-type H+-transporting ATPase subunit a	F-type ATPase, prokaryotes and chloroplasts	Energy	Electron transport Chain		3.0	2.0	3.0	3.0	3.0	2.0
K02109	ATPF0B; F-type H+-transporting ATPase subunit b	F-type ATPase, prokaryotes and chloroplasts	Energy	Electron transport Chain		2.0	1.0	2.0	2.0	2.0	1.0
K02110	ATPF0C; F-type H+-transporting ATPase subunit c	F-type ATPase, prokaryotes and chloroplasts	Energy	Electron transport Chain		3.0	2.0	3.0	3.0	3.0	2.0
K02119	ATPVC; V/A-type H+-transporting ATPase subunit C	V/A-type ATPase, prokaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02120	ATPVD; V/A-type H+-transporting ATPase subunit D	V/A-type ATPase, prokaryotes	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
K02121	ATPVE; V/A-type H+-transporting ATPase subunit E	V/A-type ATPase, prokaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02123	ATPVI; V/A-type H+-transporting ATPase subunit I	V/A-type ATPase, prokaryotes	Energy	Electron transport Chain		2.0	2.0	2.0	2.0	2.0	2.0
K02124	ATPVK; V/A-type H+-transporting ATPase subunit K	V/A-type ATPase, prokaryotes	Energy	Electron transport Chain		2.0	2.0	1.0	2.0	2.0	2.0
K00351	Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:1.6.5.-]	Na+-transporting NADH:ubiquinone oxidoreductase-	Energy	Electron transport Chain		0.0	0.0	2.0	0.0	0.0	0.0
K03952	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K03953	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
K03954	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Energy	Electron transport Chain		2.0	1.0	2.0	2.0	2.0	1.0
K03955	NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
K02132	ATPeF1A; F-type H+-transporting ATPase subunit alpha	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02133	ATPeF1B; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]	F-type ATPase, eukaryotes	Energy	Electron transport Chain		3.0	2.0	3.0	3.0	3.0	2.0
K02136	ATPeF1G; F-type H+-transporting ATPase subunit gamma	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
K02134	ATPeF1D; F-type H+-transporting ATPase subunit delta	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
K02135	ATPeF1E; F-type H+-transporting ATPase subunit epsilon	F-type ATPase, eukaryotes	Energy	Electron transport Chain		0.0	0.0	1.0	0.0	0.0	0.0
K02137	ATPeF0O; F-type H+-transporting ATPase subunit O	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02126	ATPeF0A; F-type H+-transporting ATPase subunit a	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02127	ATPeF0B; F-type H+-transporting ATPase subunit b	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
K02128	ATPeF0C; F-type H+-transporting ATPase subunit c	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02138	ATPeFD; F-type H+-transporting ATPase subunit d	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
K01549	TIM11; F-type H+-transporting ATP synthase subunit e	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02139	ATPeFF; F-type H+-transporting ATPase subunit f	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02140	ATPeFG; F-type H+-transporting ATPase subunit g	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02141	ATPeFH; F-type H+-transporting ATPase subunit h	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
K02142	ATPeFJ; F-type H+-transporting ATPase subunit j	F-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02143	ATPeFK; F-type H+-transporting ATPase subunit k	F-type ATPase, eukaryotes	Energy	Electron transport Chain		2.0	2.0	1.0	2.0	2.0	2.0
K02145	ATPeV1A; V-type H+-transporting ATPase subunit A [EC:3.6.3.14]	V-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02147	ATPeV1B; V-type H+-transporting ATPase subunit B	V-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02148	ATPeV1C; V-type H+-transporting ATPase subunit C	V-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
K02149	ATPeV1D; V-type H+-transporting ATPase subunit D	V-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
K02150	ATPeV1E; V-type H+-transporting ATPase subunit E	V-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	1.0	1.0	1.0	1.0
K02151	ATPeV1F; V-type H+-transporting ATPase subunit F	V-type ATPase, eukaryotes	Energy	Electron transport Chain		1.0	1.0	0.0	1.0	1.0	1.0
